timestamp,reference_temp_c,reference_humidity_pct,temp_c,humidity_pct
2026-06-01 00:00:00,33.12,48.7,32.83,55.51
2026-06-01 01:00:00,31.14,51.8,30.69,54.87
2026-06-01 02:00:00,30.3,53.7,30.79,60.21
2026-06-01 03:00:00,28.82,59.0,29.2,61.81
2026-06-01 04:00:00,26.22,60.1,27.49,63.36
2026-06-01 05:00:00,25.24,61.0,25.81,64.73
2026-06-01 06:00:00,24.85,62.8,25.49,72.16
2026-06-01 07:00:00,24.08,66.9,24.57,71.6
2026-06-01 08:00:00,23.99,70.2,24.96,71.79
2026-06-01 09:00:00,23.86,66.9,24.83,71.84
2026-06-01 10:00:00,25.16,65.2,26.46,67.48
2026-06-01 11:00:00,26.07,64.1,26.74,66.12
2026-06-01 12:00:00,27.03,63.6,27.82,68.42
2026-06-01 13:00:00,28.9,58.5,29.75,61.56
2026-06-01 14:00:00,30.19,54.2,31.63,57.76
2026-06-01 15:00:00,31.21,54.1,33.01,57.13
2026-06-01 16:00:00,33.15,49.9,34.25,53.57
2026-06-01 17:00:00,33.86,49.6,35.05,53.45
2026-06-01 18:00:00,35.55,45.0,37.12,44.13
2026-06-01 19:00:00,35.78,41.0,37.2,45.33
2026-06-01 20:00:00,35.93,40.3,37.91,41.34
2026-06-01 21:00:00,35.52,46.7,36.3,46.82
2026-06-01 22:00:00,35.69,48.1,37.12,50.98
2026-06-01 23:00:00,34.18,46.2,35.71,49.37
2026-06-02 00:00:00,32.83,48.2,33.82,49.81
2026-06-02 01:00:00,31.41,54.8,33.02,59.46
2026-06-02 02:00:00,30.21,52.8,31.92,53.12
2026-06-02 03:00:00,28.59,56.3,30.67,58.49
2026-06-02 04:00:00,27.17,62.3,29.86,64.13
2026-06-02 05:00:00,25.93,62.7,28.15,65.61
2026-06-02 06:00:00,25.66,65.4,27.65,68.96
2026-06-02 07:00:00,24.04,66.3,26.5,67.28
2026-06-02 08:00:00,23.8,67.7,26.78,72.15
2026-06-02 09:00:00,23.88,69.4,26.13,72.53
2026-06-02 10:00:00,25.05,65.6,27.41,64.82
2026-06-02 11:00:00,26.21,64.8,29.23,63.88
2026-06-02 12:00:00,26.95,56.9,29.74,59.88
2026-06-02 13:00:00,28.11,58.0,31.33,60.56
2026-06-02 14:00:00,29.67,53.3,32.7,56.09
2026-06-02 15:00:00,31.81,49.5,35.21,52.44
2026-06-02 16:00:00,33.3,47.2,36.09,50.65
2026-06-02 17:00:00,34.46,45.8,37.74,50.7
2026-06-02 18:00:00,34.93,46.4,38.21,47.18
2026-06-02 19:00:00,35.89,40.8,38.84,41.46
2026-06-02 20:00:00,36.05,43.1,38.94,43.91
2026-06-02 21:00:00,35.88,42.4,39.75,45.98
2026-06-02 22:00:00,35.54,44.0,39.08,49.49
2026-06-02 23:00:00,34.33,48.5,37.68,50.64
2026-06-03 00:00:00,33.27,50.1,37.07,48.1
2026-06-03 01:00:00,31.58,54.6,35.95,54.19
2026-06-03 02:00:00,30.12,54.7,33.21,56.03
2026-06-03 03:00:00,28.7,56.7,32.18,58.58
2026-06-03 04:00:00,26.42,60.6,30.21,62.78
2026-06-03 05:00:00,25.63,64.0,30.45,67.08
2026-06-03 06:00:00,24.62,65.7,29.05,68.08
2026-06-03 07:00:00,23.95,64.4,28.66,69.5
2026-06-03 08:00:00,23.89,67.2,27.91,68.85
2026-06-03 09:00:00,24.8,67.0,28.91,68.28
2026-06-03 10:00:00,24.46,70.4,29.28,74.36
2026-06-03 11:00:00,26.14,67.2,30.88,67.13
2026-06-03 12:00:00,26.33,59.3,31.35,63.08
2026-06-03 13:00:00,28.31,57.5,33.11,60.71
2026-06-03 14:00:00,30.07,52.1,35.14,54.81
2026-06-03 15:00:00,31.79,50.7,36.89,56.88
2026-06-03 16:00:00,33.28,49.6,38.71,51.36
2026-06-03 17:00:00,34.56,48.9,40.08,56.02
2026-06-03 18:00:00,35.06,43.1,39.69,45.65
2026-06-03 19:00:00,35.61,42.1,40.07,42.55
2026-06-03 20:00:00,36.34,38.7,42.18,41.84
2026-06-03 21:00:00,35.72,43.1,41.72,43.95
2026-06-03 22:00:00,34.69,42.5,39.88,44.0
2026-06-03 23:00:00,33.79,45.5,38.73,49.29
2026-06-04 00:00:00,32.63,47.2,38.43,51.31
2026-06-04 01:00:00,31.75,51.7,37.96,53.46
2026-06-04 02:00:00,30.06,51.5,36.7,56.47
2026-06-04 03:00:00,28.72,55.2,34.93,60.52
